wallet,predicted_score,risk_category
User_1,20.0,High
User_2,20.0,High
User_3,40.07,High
User_4,203.35,High
User_5,999.31,Low
User_6,199.86,High
User_7,159.73,High
User_8,999.3,Low
User_9,20.0,High
User_10,20.0,High
User_11,531.12,Medium
User_12,434.9,Medium
User_13,999.76,Low
User_14,999.67,Low
User_15,257.76,High
User_16,20.0,High
User_17,47.61,High
User_18,985.51,Low
User_19,31.89,High
User_20,20.0,High
User_21,169.28,High
User_22,306.52,High
User_23,40.07,High
User_24,20.0,High
User_25,40.07,High
User_26,37.19,High
User_27,472.72,Medium
User_28,31.89,High
User_29,233.09,High
User_30,74.0,High
User_31,10.1,High
User_32,69.26,High
User_33,74.32,High
User_34,20.0,High
User_35,20.0,High
User_36,40.07,High
User_37,40.07,High
User_38,20.0,High
User_39,139.35,High
User_40,505.44,Medium
User_41,10.1,High
User_42,1000.0,Low
User_43,37.19,High
User_44,622.36,Medium
User_45,84.12,High
User_46,20.0,High
User_47,20.0,High
User_48,42.84,High
User_49,143.01,High
User_50,120.1,High
User_51,208.67,High
User_52,20.0,High
User_53,31.89,High
User_54,228.29,High
User_55,703.69,Low
User_56,799.66,Low
User_57,100.72,High
User_58,37.19,High
User_59,41.74,High
User_60,40.07,High
User_61,999.84,Low
User_62,12.07,High
User_63,20.0,High
User_64,40.07,High
User_65,407.33,Medium
User_66,470.93,Medium
User_67,156.41,High
User_68,31.89,High
User_69,10.1,High
User_70,20.0,High
User_71,488.71,Medium
User_72,37.19,High
User_73,999.96,Low
User_74,40.07,High
User_75,298.35,High
User_76,43.69,High
User_77,20.0,High
User_78,10.1,High
User_79,351.54,High
User_80,445.67,Medium
User_81,40.07,High
User_82,40.07,High
User_83,20.0,High
User_84,20.0,High
User_85,20.0,High
User_86,111.57,High
User_87,20.0,High
User_88,12.07,High
User_89,40.07,High
User_90,20.0,High
User_91,20.0,High
User_92,40.07,High
User_93,40.07,High
User_94,20.0,High
User_95,40.07,High
User_96,12.07,High
User_97,20.0,High
User_98,575.03,Medium
User_99,20.0,High
User_100,10.1,High
User_101,90.32,High
User_102,20.0,High
User_103,20.0,High
User_104,20.0,High
User_105,358.02,High
User_106,20.0,High
User_107,162.22,High
User_108,20.0,High
User_109,20.0,High
User_110,40.07,High
User_111,20.0,High
User_112,379.89,High
User_113,40.07,High
User_114,20.0,High
User_115,55.97,High
User_116,1000.0,Low
User_117,20.0,High
User_118,326.83,High
User_119,998.08,Low
User_120,37.19,High
User_121,79.59,High
User_122,20.0,High
User_123,999.72,Low
User_124,24.1,High
User_125,666.16,Medium
User_126,20.0,High
User_127,42.78,High
User_128,40.07,High
User_129,20.0,High
User_130,891.6,Low
User_131,20.0,High
User_132,40.07,High
User_133,106.74,High
User_134,20.0,High
User_135,40.07,High
User_136,1000.0,Low
User_137,60.34,High
User_138,1000.0,Low
User_139,20.0,High
User_140,60.34,High
User_141,248.31,High
User_142,20.0,High
User_143,224.49,High
User_144,184.34,High
User_145,20.0,High
User_146,321.37,High
User_147,139.35,High
User_148,20.0,High
User_149,135.4,High
User_150,79.55,High
User_151,20.0,High
User_152,999.96,Low
User_153,10.1,High
User_154,83.28,High
User_155,1000.0,Low
User_156,88.59,High
User_157,40.07,High
User_158,761.18,Low
User_159,64.48,High
User_160,0.0,High
User_161,20.0,High
User_162,20.0,High
User_163,57.8,High
User_164,248.9,High
User_165,40.07,High
User_166,1000.0,Low
User_167,20.0,High
User_168,564.91,Medium
User_169,1000.0,Low
User_170,31.89,High
User_171,120.7,High
User_172,20.0,High
User_173,1000.0,Low
User_174,31.89,High
User_175,20.0,High
User_176,20.0,High
User_177,51.16,High
User_178,598.59,Medium
User_179,156.95,High
User_180,75.37,High
User_181,31.89,High
User_182,793.75,Low
User_183,182.88,High
User_184,57.93,High
User_185,20.0,High
User_186,20.0,High
User_187,20.0,High
User_188,96.79,High
User_189,992.18,Low
User_190,70.71,High
User_191,463.63,Medium
User_192,40.07,High
User_193,929.56,Low
User_194,20.0,High
User_195,20.0,High
User_196,20.0,High
User_197,57.59,High
User_198,21.75,High
User_199,20.0,High
User_200,20.0,High
User_201,20.0,High
User_202,999.83,Low
User_203,999.95,Low
User_204,60.34,High
User_205,20.0,High
User_206,20.0,High
User_207,624.92,Medium
User_208,487.74,Medium
User_209,0.08,High
User_210,40.07,High
User_211,62.61,High
User_212,94.17,High
User_213,20.0,High
User_214,20.0,High
User_215,425.51,Medium
User_216,10.1,High
User_217,20.0,High
User_218,40.07,High
